name,email,password,role
Parth0,Parth0@iu.edu,123456,Admin
Parth1,Parth1@iu.edu,123456,Admin
Parth2,Parth2@iu.edu,123456,Admin
Parth3,Parth3@iu.edu,123456,Admin
Parth4,Parth4@iu.edu,123456,Admin
Parth5,Parth5@iu.edu,123456,Admin
Parth6,Parth6@iu.edu,123456,Admin
Parth7,Parth7@iu.edu,123456,Admin
Parth8,Parth8@iu.edu,123456,Admin
Parth9,Parth9@iu.edu,123456,Admin
Parth10,Parth10@iu.edu,123456,Admin
Parth11,Parth11@iu.edu,123456,Admin
Parth12,Parth12@iu.edu,123456,Admin
Parth13,Parth13@iu.edu,123456,Admin
Parth14,Parth14@iu.edu,123456,Admin
Parth15,Parth15@iu.edu,123456,Admin
Parth16,Parth16@iu.edu,123456,Admin
Parth17,Parth17@iu.edu,123456,Admin
Parth18,Parth18@iu.edu,123456,Admin
Parth19,Parth19@iu.edu,123456,Admin
Parth20,Parth20@iu.edu,123456,Admin
Parth21,Parth21@iu.edu,123456,Admin
Parth22,Parth22@iu.edu,123456,Admin
Parth23,Parth23@iu.edu,123456,Admin
Parth24,Parth24@iu.edu,123456,Admin
Parth25,Parth25@iu.edu,123456,Admin
Parth26,Parth26@iu.edu,123456,Admin
Parth27,Parth27@iu.edu,123456,Admin
Parth28,Parth28@iu.edu,123456,Admin
Parth29,Parth29@iu.edu,123456,Admin
Parth30,Parth30@iu.edu,123456,Admin
Parth31,Parth31@iu.edu,123456,Admin
Parth32,Parth32@iu.edu,123456,Admin
Parth33,Parth33@iu.edu,123456,Admin
Parth34,Parth34@iu.edu,123456,Admin
Parth35,Parth35@iu.edu,123456,Admin
Parth36,Parth36@iu.edu,123456,Admin
Parth37,Parth37@iu.edu,123456,Admin
Parth38,Parth38@iu.edu,123456,Admin
Parth39,Parth39@iu.edu,123456,Admin
Parth40,Parth40@iu.edu,123456,Admin
Parth41,Parth41@iu.edu,123456,Admin
Parth42,Parth42@iu.edu,123456,Admin
Parth43,Parth43@iu.edu,123456,Admin
Parth44,Parth44@iu.edu,123456,Admin
Parth45,Parth45@iu.edu,123456,Admin
Parth46,Parth46@iu.edu,123456,Admin
Parth47,Parth47@iu.edu,123456,Admin
Parth48,Parth48@iu.edu,123456,Admin
Parth49,Parth49@iu.edu,123456,Admin
Parth50,Parth50@iu.edu,123456,Admin
Parth51,Parth51@iu.edu,123456,Admin
Parth52,Parth52@iu.edu,123456,Admin
Parth53,Parth53@iu.edu,123456,Admin
Parth54,Parth54@iu.edu,123456,Admin
Parth55,Parth55@iu.edu,123456,Admin
Parth56,Parth56@iu.edu,123456,Admin
Parth57,Parth57@iu.edu,123456,Admin
Parth58,Parth58@iu.edu,123456,Admin
Parth59,Parth59@iu.edu,123456,Admin
Parth60,Parth60@iu.edu,123456,Admin
Parth61,Parth61@iu.edu,123456,Admin
Parth62,Parth62@iu.edu,123456,Admin
Parth63,Parth63@iu.edu,123456,Admin
Parth64,Parth64@iu.edu,123456,Admin
Parth65,Parth65@iu.edu,123456,Admin
Parth66,Parth66@iu.edu,123456,Admin
Parth67,Parth67@iu.edu,123456,Admin
Parth68,Parth68@iu.edu,123456,Admin
Parth69,Parth69@iu.edu,123456,Admin
Parth70,Parth70@iu.edu,123456,Admin
Parth71,Parth71@iu.edu,123456,Admin
Parth72,Parth72@iu.edu,123456,Admin
Parth73,Parth73@iu.edu,123456,Admin
Parth74,Parth74@iu.edu,123456,Admin
Parth75,Parth75@iu.edu,123456,Admin
Parth76,Parth76@iu.edu,123456,Admin
Parth77,Parth77@iu.edu,123456,Admin
Parth78,Parth78@iu.edu,123456,Admin
Parth79,Parth79@iu.edu,123456,Admin
Parth80,Parth80@iu.edu,123456,Admin
Parth81,Parth81@iu.edu,123456,Admin
Parth82,Parth82@iu.edu,123456,Admin
Parth83,Parth83@iu.edu,123456,Admin
Parth84,Parth84@iu.edu,123456,Admin
Parth85,Parth85@iu.edu,123456,Admin
Parth86,Parth86@iu.edu,123456,Admin
Parth87,Parth87@iu.edu,123456,Admin
Parth88,Parth88@iu.edu,123456,Admin
Parth89,Parth89@iu.edu,123456,Admin
Parth90,Parth90@iu.edu,123456,Admin
Parth91,Parth91@iu.edu,123456,Admin
Parth92,Parth92@iu.edu,123456,Admin
Parth93,Parth93@iu.edu,123456,Admin
Parth94,Parth94@iu.edu,123456,Admin
Parth95,Parth95@iu.edu,123456,Admin
Parth96,Parth96@iu.edu,123456,Admin
Parth97,Parth97@iu.edu,123456,Admin
Parth98,Parth98@iu.edu,123456,Admin
Parth99,Parth99@iu.edu,123456,Admin
Parth100,Parth100@iu.edu,123456,Admin
Parth101,Parth101@iu.edu,123456,Admin
Parth102,Parth102@iu.edu,123456,Admin
Parth103,Parth103@iu.edu,123456,Admin
